Service,Category,Provider,Provider_Type,Region,Price_From_GBP_inc_VAT,Price_To_GBP_inc_VAT,Original_Price_Basis,VAT_Treatment_Applied,Service_Level,Delivery_Channel,Regulated,Includes_Disbursements,Notes,Source_URL
Single Will,Wills,Irwin Mitchell,National law firm,National,175.00,175.00,£175 inc VAT (published),None (already inc VAT),Online standard,Online,Yes (SRA),No,"Reduced to £100 via charity partnerships (Cancer Research UK, Bone Cancer Research Trust)",https://www.irwinmitchell.com/personal/wills-trusts-estates/wills
Mirror Wills (pair),Wills,Irwin Mitchell,National law firm,National,260.00,260.00,£260 inc VAT (published),None (already inc VAT),Online standard,Online,Yes (SRA),No,"Reduced to £190 via charity partnerships. Two wills for price of one; single form for couple.",https://www.irwinmitchell.com/personal/wills-trusts-estates/wills
Single Will,Wills,Hugh James,National law firm,Wales/National,75.00,75.00,£75 inc VAT (published),None (already inc VAT),Online,Online,Yes (SRA),No,Digital-only online service,https://www.hughjames.com/services/wills/
Single Will,Wills,Hugh James,National law firm,Wales/National,150.00,150.00,£150 inc VAT (published),None (already inc VAT),Telephone,Telephone,Yes (SRA),No,Mid-tier with telephone support from solicitor,https://www.hughjames.com/services/wills/
Single Will,Wills,Hugh James,National law firm,Wales/National,250.00,250.00,£250 inc VAT (published),None (already inc VAT),Face-to-face,In-person,Yes (SRA),No,Face-to-face appointment with solicitor,https://www.hughjames.com/services/wills/
Single simple Will,Wills,Clarke Willmott,National law firm,National,1080.00,1080.00,£1080 inc VAT (published),None (already inc VAT),Bespoke solicitor-drafted,In-person,Yes (SRA),No,"Includes initial meeting, drafting and execution",https://www.clarkewillmott.com/legal-services/wills-and-probate-solicitors/wills-trusts-and-probate-costs/
Complex Wills (pair with trust/IHT planning),Trust Wills,Clarke Willmott,National law firm,National,,5500.00,Up to £5500 inc VAT (published),None (already inc VAT),Bespoke solicitor-drafted,In-person,Yes (SRA),No,Upper bound for pair of complex wills including trusts and IHT planning,https://www.clarkewillmott.com/legal-services/wills-and-probate-solicitors/wills-trusts-and-probate-costs/
Single Will,Wills,Co-op Legal Services,Volume/online legal service,National,150.00,,£150 inc VAT (published from),None (already inc VAT),Fixed-fee entry,Online/phone,Yes (SRA),No,Starting price,https://www.co-oplegalservices.co.uk/making-a-will/understanding-the-costs/
Mirror Wills (pair),Wills,Co-op Legal Services,Volume/online legal service,National,245.00,,£245 inc VAT (published from),None (already inc VAT),Fixed-fee entry,Online/phone,Yes (SRA),No,Starting price,https://www.co-oplegalservices.co.uk/making-a-will/understanding-the-costs/
Single LPA (one type),LPA,Co-op Legal Services,Volume/online legal service,National,120.00,,£120 inc VAT (published from),None (already inc VAT),Digital service,Online,Yes (SRA),No,OPG £92 registration fee additional (excluded from this row),https://www.co-oplegalservices.co.uk/making-a-will/lasting-powers-of-attorney/
Mirror LPAs (two people; one LPA each),LPA,Co-op Legal Services,Volume/online legal service,National,210.00,,£210 inc VAT (published from),None (already inc VAT),Digital service,Online,Yes (SRA),No,Plus OPG £92 per LPA registration,https://www.co-oplegalservices.co.uk/making-a-will/lasting-powers-of-attorney/
LPA fully advised (one type),LPA,Co-op Legal Services,Volume/online legal service,National,354.00,,£354 inc VAT (published from),None (already inc VAT),Fully advised,Phone/in-person,Yes (SRA),No,Plus OPG £92 registration,https://www.co-oplegalservices.co.uk/making-a-will/lasting-powers-of-attorney/
Single Will,Wills,Farewill,Online will writer (non-solicitor),National,90.00,90.00,£90 inc VAT (published),None (already inc VAT),Online,Online,No (IPW member; not SRA-regulated),No,Not SRA-regulated; IPW-regulated will writer,https://farewill.com/wills/wills-for-couples
Mirror Wills (pair),Wills,Farewill,Online will writer (non-solicitor),National,140.00,140.00,£140 inc VAT (published),None (already inc VAT),Online,Online,No (IPW member; not SRA-regulated),No,"Discount on two wills; not technically a 'mirror' but suitable for couples with similar wishes",https://farewill.com/wills/wills-for-couples
Will annual updates,Wills,Farewill,Online will writer (non-solicitor),National,10.00,10.00,£10 inc VAT (published),None (already inc VAT),Subscription,Online,No (IPW member; not SRA-regulated),No,Unlimited updates per year,https://farewill.com/wills/wills-for-couples
Single Will,Wills,Slater + Gordon,National law firm,National,420.00,420.00,£350 + £70 VAT (published),+20% VAT applied (already combined),Fixed fee,In-person,Yes (SRA),No,,https://www.slatergordon.co.uk/wills-trusts-tax-probate/will-writing/
Mirror Wills (pair),Wills,Slater + Gordon,National law firm,National,660.00,660.00,£550 + £110 VAT (published),+20% VAT applied (already combined),Fixed fee,In-person,Yes (SRA),No,,https://www.slatergordon.co.uk/wills-trusts-tax-probate/will-writing/
Will writing (entry),Wills,Slater + Gordon,National law firm,National,216.00,,£180 exc VAT (published from),+20% VAT applied,Entry level,In-person,Yes (SRA),No,Starting price for simplest wills,https://www.slatergordon.co.uk/wills-trusts-tax-probate/will-writing/
Single LPA (one type),LPA,Levi Solicitors,Regional law firm,Yorkshire,480.00,480.00,£400 + VAT (published),+20% VAT applied,Fixed fee,In-person,Yes (SRA),No,Per LPA document,https://levisolicitors.co.uk/lasting-powers-of-attorney-prices/
Two LPAs (couple one LPA each OR individual both types),LPA,Levi Solicitors,Regional law firm,Yorkshire,840.00,840.00,£700 + VAT (published),+20% VAT applied,Fixed fee,In-person,Yes (SRA),No,,https://levisolicitors.co.uk/lasting-powers-of-attorney-prices/
Four LPAs (couple both types each),LPA,Levi Solicitors,Regional law firm,Yorkshire,1200.00,1200.00,£1000 + VAT (published),+20% VAT applied,Fixed fee,In-person,Yes (SRA),No,,https://levisolicitors.co.uk/lasting-powers-of-attorney-prices/
Single person both LPAs,LPA,Devonalds Solicitors,Regional law firm,Wales,420.00,420.00,£350 + VAT (published),+20% VAT applied,Fixed fee,In-person,Yes (SRA),No,Both Property/Financial AND Health/Welfare for one person,https://www.devonalds.co.uk/site/blog/devonalds-blog/solicitor-charges-power-of-attorney
